,Annualized Return,Annualized Volatility,Sharpe Ratio,Total Return
Strategy,0.10808813558892365,0.10843310068709196,0.9968186365972898,0.10580029800289426
Benchmark,0.11955037250098173,0.13101849076192496,0.9124694675213283,0.11537634042228495
