expected_return,volatility
0.018059507781791995,0.8095114839019563
0.023304413274505734,0.8095114839019563
0.028549318767219473,0.8142623558082939
0.03379422425993321,0.8370697268233989
0.03903912975264695,0.8772507063104301
0.04428403524536069,0.9316909187417511
0.049528940738074435,0.9978069957402834
0.054773846230788174,1.0734436639942286
0.06001875172350191,1.1567348292193687
0.06526365721621566,1.246146579190294
0.07050856270892938,1.3404546970580102
0.07575346820164314,1.438696618207187
0.08099837369435688,1.5401197323440194
0.08624327918707062,1.6441354223447444
0.09148818467978435,1.7502815346111469
0.09673309017249809,1.858193014767701
0.10197799566521183,1.967579420557377
0.10722290115792557,2.0782078670356894
0.11246780665063931,2.189890126777109
0.11771271214335305,2.302472858133488
0.12295761763606679,2.4158301728113316
0.12820252312878053,2.529857950879568
0.13344742862149428,2.644469463943611
0.138692334114208,2.7595919818282106
0.14393723960692176,2.875164122784923
0.14918214509963548,2.991133769336862
0.15442705059234924,3.1081233463167877
0.15967195608506296,3.2355266992537133
0.1649168615777767,3.375193873104597
0.17016176707049044,3.525667697656289
0.1754066725632042,3.6856247938912907
0.18065157805591792,3.8538845211280592
0.18589648354863167,4.029406911299689
0.19114138904134542,4.211283959229534
0.19638629453405915,4.398727485022602
0.2016312000267729,4.591055735178737
0.20687610551948662,4.787680065891715
0.21212101101220038,4.988092464755565
0.2173659165049141,5.191854277072943
0.22261082199762786,5.39858625989851
0.22785572749034158,5.607959945520686
0.23310063298305533,5.819690221082115
0.23834553847576906,6.033528997357038
0.2435904439684828,6.249259830438537
0.24883534946119654,6.466693364348749
0.2540802549539103,6.685663473619254
0.259325160446624,6.906023998673633
0.26457006593933774,7.1276459810950685
0.2698149714320515,7.350415319366671
0.27505987692476525,7.574230777863505
0.28030478241747897,7.799002292555398
0.28554968791019275,8.02464952605589
0.2907945934029065,8.25110063243496
0.2960394988956202,8.478291198755988
0.3012844043883339,8.70616333576581
0.3065293098810477,8.934664894720877
0.31177421537376143,9.163748791115852
0.31701912086647516,9.393372419221544
0.3222640263591889,9.623497143944174
0.32750893185190266,
