,TSLA,BND,SPY
TSLA,97.10304752660646,0.5603077625855053,14.364490276002979
BND,0.5603077625855053,0.6817290838633796,0.2213974066155784
SPY,14.364490276002979,0.2213974066155784,7.781630368345334
