Date,forecast
2024-12-04,255.34535
2024-12-05,255.29662
2024-12-06,255.24829
2024-12-09,255.2006
2024-12-10,255.15341
2024-12-11,255.10675
2024-12-12,255.06056
2024-12-13,255.01494
2024-12-16,254.96976
2024-12-17,254.92511
2024-12-18,254.88098
2024-12-19,254.83728
2024-12-20,254.79408
2024-12-23,254.75139
2024-12-24,254.70912
2024-12-26,254.66736
2024-12-27,254.62602
2024-12-30,254.58519
2024-12-31,254.54475
2025-01-02,254.50473
2025-01-03,254.46523
2025-01-06,254.42607
2025-01-07,254.38744
2025-01-08,254.34918
2025-01-10,254.31131
2025-01-13,254.27386
2025-01-14,254.23686
2025-01-15,254.20023
2025-01-16,254.16403
2025-01-17,254.12823
2025-01-21,254.09274
2025-01-22,254.05779
2025-01-23,254.02309
2025-01-24,253.98878
2025-01-27,253.95485
2025-01-28,253.92136
2025-01-29,253.88817
2025-01-30,253.85535
2025-01-31,253.82289
2025-02-03,253.79083
2025-02-04,253.75899
2025-02-05,253.72757
2025-02-06,253.69652
2025-02-07,253.66577
2025-02-10,253.63535
2025-02-11,253.60529
2025-02-12,253.5755
2025-02-13,253.54608
2025-02-14,253.51697
2025-02-18,253.48816
2025-02-19,253.45972
2025-02-20,253.43144
2025-02-21,253.40358
2025-02-24,253.37598
2025-02-25,253.34871
2025-02-26,253.32176
2025-02-27,253.29503
2025-02-28,253.26862
2025-03-03,253.24251
2025-03-04,253.21669
2025-03-05,253.19113
2025-03-06,253.16585
2025-03-07,253.14084
2025-03-10,253.11612
2025-03-11,253.0916
2025-03-12,253.0674
2025-03-13,253.04352
2025-03-14,253.01978
2025-03-17,252.9963
2025-03-18,252.97314
2025-03-19,252.95021
2025-03-20,252.92752
2025-03-21,252.90512
2025-03-24,252.88289
2025-03-25,252.86093
2025-03-26,252.83923
2025-03-27,252.81776
2025-03-28,252.79648
2025-03-31,252.77545
2025-04-01,252.75465
2025-04-02,252.73402
2025-04-03,252.71368
2025-04-04,252.69356
2025-04-07,252.67361
2025-04-08,252.65387
2025-04-09,252.63437
2025-04-10,252.61508
2025-04-11,252.596
2025-04-14,252.5771
2025-04-15,252.55843
2025-04-16,252.5399
2025-04-17,252.52162
2025-04-21,252.50352
2025-04-22,252.48561
2025-04-23,252.46788
2025-04-24,252.45036
2025-04-25,252.43306
2025-04-28,252.41592
2025-04-29,252.39894
2025-04-30,252.38222
2025-05-01,252.36563
2025-05-02,252.3492
2025-05-05,252.33293
2025-05-06,252.31691
2025-05-07,252.301
2025-05-08,252.28525
2025-05-09,252.26962
2025-05-12,252.25424
2025-05-13,252.23897
2025-05-14,252.2239
2025-05-15,252.20898
2025-05-16,252.1942
2025-05-19,252.17961
2025-05-20,252.16519
2025-05-21,252.15092
2025-05-22,252.13675
2025-05-23,252.12276
2025-05-27,252.10893
2025-05-28,252.09523
2025-05-29,252.08171
2025-05-30,252.06827
2025-06-02,252.05502
2025-06-03,252.04192
2025-06-04,252.02893
2025-06-05,252.01607
2025-06-06,252.00336
2025-06-09,251.99081
2025-06-10,251.97835
2025-06-11,251.96605
2025-06-12,251.95386
2025-06-13,251.94186
2025-06-16,251.9299
2025-06-17,251.91814
2025-06-18,251.90646
2025-06-20,251.8949
2025-06-23,251.88351
2025-06-24,251.87218
2025-06-25,251.86102
2025-06-26,251.84993
2025-06-27,251.83897
2025-06-30,251.82817
2025-07-01,251.8175
2025-07-02,251.80684
2025-07-03,251.7964
2025-07-07,251.786
2025-07-08,251.77577
2025-07-09,251.76558
2025-07-10,251.75554
2025-07-11,251.74557
2025-07-14,251.73573
2025-07-15,251.72598
2025-07-16,251.7163
2025-07-17,251.70674
2025-07-18,251.69734
2025-07-21,251.68797
2025-07-22,251.67877
2025-07-23,251.6696
2025-07-24,251.66057
2025-07-25,251.65163
2025-07-28,251.64279
2025-07-29,251.63406
2025-07-30,251.62537
